"Név"	"Szület_idõ"	"TAJ szám"	"Város"	"Utca"	"Irsz"	"Osztály"	"Napok"	"Ellenõrzés"
"Szabó Szilvia"	1980.12.11 0:00:00	415487561	"Budapest"	"Tulipán út 78."	"1039"	"Onkológia"	6	0
"Faragó Álmos"	1982.6.7 0:00:00	102548962	"Budapest"	"Kikötõ út 3."	"1226"	"Szájsebészet"	3	1
"Deák Attila"	1981.11.29 0:00:00	250187464	"Budapest"	"Harang utca 20."	"1241"	"Belgyógyászat"	7	0
"Zab Márton"	1980.2.21 0:00:00	201214580	"Pomáz"	"Vadon utca 71."	"2013"	"Neurológia"	10	1
"Tábor Zsolt"	1979.3.24 0:00:00	254015487	"Bag"	"Panoráma út 5."	"2191"	"Immunológia"	7	0
"Tar Csaba"	1981.5.27 0:00:00	214705498	"Leányfalu"	"Móricz Zsigmond út 24."	"2016"	"Immunológia"	12	0
"Huber Gábor"	1980.7.25 0:00:00	258740158	"Ercsi"	"Rózsa út 5."	"2451"	"Urológia"	21	1
"Vaj Zsuzsa"	1982.1.30 0:00:00	541845971	"Budapest"	"Dongó út 5."	"1247"	"Szülészet"	8	0
"Csap Jánosné"	1981.5.30 0:00:00	102548795	"Budapest"	"Fény utca 4."	"1021"	"Szülészet"	6	1
"Márton Balázs"	1982.10.29 0:00:00	225870156	"Etyek"	"Pöttyös út 34."	"2091"	"Neurológia"	52	1
"Cár Péter"	1982.9.16 0:00:00	201458795	"Eperjes"	"Vizimolnár utca 12."	"6624"	"Sebészet"	8	1
"Bolgár Györgyi"	1980.12.28 0:00:00	120584758	"Budapest"	"Õrség út 45."	"1426"	"Belgyógyászat"	10	0
"Láng Vilmos"	1981.5.4 0:00:00	658479021	"Leányfalu"	"Mátyás király út 31."	"2016"	"Szájsebészet"	11	1
"Lakatos István"	1981.11.24 0:00:00	554872085	"Tahitótfalu"	"Híd utca 3."	"2021"	"Szemészet"	10	1
"György Attiláné"	1980.2.23 0:00:00	201254878	"Etyek"	"Arany János utca 7."	"2091"	"Szülészet"	5	0
"Imre István"	1982.9.28 0:00:00	201548898	"Bábolna"	"Szabadság tér 3."	"2943"	"Urológia"	12	0
